iter	Logloss
0	0.6919174143
1	0.6906904389
2	0.6899973046
3	0.6888334151
4	0.6878604459
5	0.6868494604
6	0.6851705999
7	0.6841209175
8	0.682886413
9	0.6817187291
10	0.680636464
11	0.6796783472
12	0.6792182435
13	0.6783449403
14	0.6773085561
15	0.6765970089
16	0.6752581406
17	0.6741889343
18	0.6733979724
19	0.6719845785
20	0.6707194135
21	0.6693530646
22	0.6683348634
23	0.6667099886
24	0.6655771058
25	0.6641835089
26	0.6634110126
27	0.662286106
28	0.6612809904
29	0.6603582247
30	0.6595158565
31	0.6588273064
32	0.6577908916
33	0.6567950152
34	0.65582956
35	0.6553336033
36	0.6539663298
37	0.6530198024
38	0.6521122312
39	0.6509731961
40	0.6500141081
41	0.6493744905
42	0.6485460249
43	0.6473372654
44	0.6463250779
45	0.6454952481
46	0.6441533672
47	0.6430690372
48	0.6421024574
49	0.6410988466
50	0.6400206098
51	0.6392142443
52	0.638409265
53	0.6374154826
54	0.636511515
55	0.635710721
56	0.63451004
57	0.6336359588
58	0.6327645913
59	0.6317045142
60	0.630475651
61	0.6298268194
62	0.6284477538
63	0.6275840139
64	0.626722958
65	0.6253697498
66	0.6245120476
67	0.6235915179
68	0.6226275785
69	0.621665537
70	0.6206315384
71	0.6195366157
72	0.618762827
73	0.6179710676
74	0.617617543
75	0.6166624747
76	0.6157471761
77	0.6145198702
78	0.6136813051
79	0.6127369777
80	0.6116644963
81	0.6109361819
82	0.6098679288
83	0.6089669251
84	0.6079935777
85	0.6069871129
86	0.6059804515
87	0.6051582514
88	0.6048010614
89	0.6037995057
90	0.6026385693
91	0.6020601555
92	0.6013180041
93	0.6011317624
94	0.6004193854
95	0.5996773262
96	0.5989366838
97	0.5980537245
98	0.5971352789
99	0.5961698203
100	0.5952939778
101	0.5945611251
102	0.59375915
103	0.5929242001
104	0.5916466921
105	0.5906745732
106	0.5899495158
107	0.5891577411
108	0.5882641391
109	0.5871967182
110	0.5860038954
111	0.5852171925
112	0.5848962316
113	0.5840080953
114	0.5831878126
115	0.5823056446
116	0.5814558612
117	0.5802778148
118	0.5797963009
119	0.5791219867
120	0.578415469
121	0.5771735332
122	0.5760064049
123	0.5750677727
124	0.5741284568
125	0.573595763
126	0.5727327751
127	0.5718668632
128	0.5710752868
129	0.5702495456
130	0.5694595228
131	0.5689909634
132	0.5679668887
133	0.5666337331
134	0.5657031025
135	0.5649166021
136	0.5640143925
137	0.5633347701
138	0.5624116887
139	0.5617310469
140	0.5610561826
141	0.5602491226
142	0.5597239159
143	0.5588901735
144	0.5575837229
145	0.5565830571
146	0.5559422405
147	0.5551806063
148	0.5546598333
149	0.5539643245
150	0.5532352135
151	0.5523126506
152	0.5513926414
153	0.5504740033
154	0.5498795925
155	0.5488113042
156	0.5480291083
157	0.547213366
158	0.5463018955
159	0.5458367192
160	0.5450220755
161	0.5441180315
162	0.5428543187
163	0.5422099354
164	0.5413610734
165	0.5409582329
166	0.5401578037
167	0.5390234205
168	0.5385015168
169	0.5377991363
170	0.5371589443
171	0.5369118347
172	0.5361222028
173	0.5353962869
174	0.5344029199
175	0.5336175841
176	0.5328635887
177	0.5319619237
178	0.5311272798
179	0.5305008692
180	0.5298121875
181	0.5290627989
182	0.5279569022
183	0.5272749652
184	0.5262951373
185	0.5255874276
186	0.5250754215
187	0.5244612396
188	0.5239347288
189	0.5231669858
190	0.5220852742
191	0.5211709932
192	0.5205037497
193	0.5198970771
194	0.5192009958
195	0.5182915135
196	0.5175340437
197	0.5170365764
198	0.5161781236
199	0.5157565452
200	0.5150774231
201	0.5144179884
202	0.5137020736
203	0.5129598546
204	0.5123300461
205	0.5116787145
206	0.5108673323
207	0.5100584392
208	0.5095808428
209	0.508539521
210	0.5077483945
211	0.5071030152
212	0.5064575498
213	0.5058136131
214	0.5050864631
215	0.5043622199
216	0.5039023814
217	0.5031166665
218	0.5021649606
219	0.5010233336
220	0.5002835656
221	0.4992571783
222	0.4985653551
223	0.4974344083
224	0.49683694
225	0.4960146666
226	0.4953761365
227	0.4946230304
228	0.4938573426
229	0.4930919769
230	0.4921981455
231	0.4915245919
232	0.4909603595
233	0.4903997364
234	0.4896360118
235	0.4886371093
236	0.4878016356
237	0.4871562229
238	0.4864001407
239	0.4858484967
240	0.4854279762
241	0.4844922357
242	0.4837981116
243	0.4831077374
244	0.4822604574
245	0.4816265091
246	0.4807355077
247	0.4801886408
248	0.4793271928
249	0.4787856695
250	0.4781108395
251	0.4775699865
252	0.4769789
253	0.4760661794
254	0.4754215775
255	0.474616719
256	0.4743324625
257	0.4737433985
258	0.4731278348
259	0.4724906508
260	0.4718758384
261	0.4712383389
262	0.470792243
263	0.4697419832
264	0.4690870103
265	0.4682968668
266	0.4677229124
267	0.4670309641
268	0.4665163467
269	0.4659983302
270	0.465309154
271	0.4642748837
272	0.4636771263
273	0.4627979478
274	0.4621564853
275	0.4620261059
276	0.4617316107
277	0.461083018
278	0.4605703688
279	0.4600064174
280	0.459444151
281	0.4587257395
282	0.4583181347
283	0.457758775
284	0.4570322639
285	0.4563984645
286	0.4558941053
287	0.4552846962
288	0.4547202802
289	0.4542194895
290	0.4538571921
291	0.4532563673
292	0.4525770442
293	0.4519739074
294	0.4516255941
295	0.4509492952
296	0.4503696947
297	0.449572391
298	0.4488634976
299	0.4481531286
300	0.4475633853
301	0.4469364125
302	0.4464461844
303	0.445886174
304	0.4452991575
305	0.4444179345
306	0.4441504438
307	0.4432723366
308	0.4424439787
309	0.4415782436
310	0.4409674734
311	0.4402795952
312	0.4397179072
313	0.4391197816
314	0.4384843665
315	0.4379594378
316	0.4373219426
317	0.4365775214
318	0.435850171
319	0.4349994813
320	0.434362944
321	0.4336868906
322	0.4329736677
323	0.4324690757
324	0.4318770325
325	0.4312542675
326	0.4308697059
327	0.4302882139
328	0.4297743823
329	0.4291945283
330	0.4283228554
331	0.4277204637
332	0.4270904187
333	0.4263023973
334	0.425772172
335	0.4252938199
336	0.4244927946
337	0.4240373308
338	0.4234853988
339	0.422571488
340	0.4217576471
341	0.4212167295
342	0.4205326205
343	0.419993961
344	0.4195011736
345	0.4189312209
346	0.4183941981
347	0.417787753
348	0.4172244002
349	0.4166657483
350	0.4162179016
351	0.4156200969
352	0.4149937059
353	0.4148820507
354	0.4143536997
355	0.4137964438
356	0.4129099796
357	0.412187048
358	0.4113933948
359	0.410916668
360	0.4104890412
361	0.4102256541
362	0.4096835999
363	0.4089585517
364	0.4085153404
365	0.4080801531
366	0.4076534975
367	0.4072211099
368	0.4068371045
369	0.4063701945
370	0.4056810155
371	0.4048951619
372	0.4044245183
373	0.4039557187
374	0.4033752716
375	0.4027077878
376	0.4021357944
377	0.4014503267
378	0.4006863431
379	0.4000853743
380	0.3996222733
381	0.3990989359
382	0.3985701631
383	0.3980930013
384	0.3973268257
385	0.396866914
386	0.3960283225
387	0.3955568182
388	0.3949933375
389	0.3942125874
390	0.3936533021
391	0.3932442989
392	0.3927331549
393	0.3922238444
394	0.3919097749
395	0.3912601244
396	0.3906223614
397	0.3901109492
398	0.3896056089
399	0.3890263788
400	0.3885180124
401	0.3877891011
402	0.3874374513
403	0.3867983907
404	0.3862521982
405	0.3857149734
406	0.385399135
407	0.3849602369
408	0.3845299648
409	0.3840343926
410	0.3835574339
411	0.3830204992
412	0.3825718077
413	0.3821393723
414	0.381782866
415	0.381265167
416	0.3805806308
417	0.3800625338
418	0.3796342356
419	0.3790834851
420	0.3787095099
421	0.3782460216
422	0.3777609978
423	0.3772355814
424	0.3767967889
425	0.3761992213
426	0.375710836
427	0.3752332848
428	0.3745726406
429	0.3740500104
430	0.3733577432
431	0.3730473124
432	0.3725444157
433	0.3722837458
434	0.3717752562
435	0.371229769
436	0.370717325
437	0.3701457992
438	0.3696389656
439	0.3692772348
440	0.368805436
441	0.3683242256
442	0.3678327911
443	0.3675243225
444	0.3670609521
445	0.3663835843
446	0.3658221187
447	0.3651389239
448	0.3646276833
449	0.3639832417
450	0.3634270024
451	0.3629083018
452	0.3625763969
453	0.3620764519
454	0.3616796728
455	0.3611964989
456	0.360534099
457	0.3600300613
458	0.359571764
459	0.3588378737
460	0.3582586256
461	0.3578331465
462	0.3572138034
463	0.3567844591
464	0.356394377
465	0.355990783
466	0.3556020248
467	0.3550644813
468	0.3545638473
469	0.3540846074
470	0.3535497754
471	0.3530409258
472	0.3526965082
473	0.3521166804
474	0.3516144306
475	0.3511928999
476	0.3508106265
477	0.3502813979
478	0.3499724139
479	0.3496285801
480	0.3491344624
481	0.348536422
482	0.3481655583
